iter	MultiClass
0	1.708083497
1	1.644951554
2	1.583311365
3	1.528906174
4	1.482031942
5	1.437068238
6	1.396101019
7	1.358395333
8	1.326510226
9	1.295906674
10	1.26794593
11	1.242968843
12	1.216409732
13	1.192761849
14	1.168986983
15	1.153985214
16	1.134455852
17	1.119071197
18	1.101710184
19	1.081839144
20	1.069797644
21	1.054180257
22	1.038938001
23	1.020857407
24	1.004927098
25	0.9899102274
26	0.9772053288
27	0.9669407455
28	0.9574012982
29	0.9434692875
30	0.9346629998
31	0.9246711033
32	0.9138319324
33	0.9039516797
34	0.8946945288
35	0.8846631777
36	0.8757532829
37	0.8682789349
38	0.8591268779
39	0.8497888251
40	0.8455053662
41	0.8363544259
42	0.8277700858
43	0.8222283912
44	0.815195749
45	0.810218292
46	0.802284487
47	0.7961776392
48	0.7908410488
49	0.7837987024
50	0.7783442306
51	0.7730553859
52	0.7690385856
53	0.7633043193
54	0.7580754927
55	0.7537368741
56	0.7496417557
57	0.7453270206
58	0.7396640751
59	0.7347397562
60	0.7276341054
61	0.72405551
62	0.7182406746
63	0.7159286727
64	0.7104025615
65	0.707056617
66	0.7034087101
67	0.6996273173
68	0.6959867769
69	0.6934050366
70	0.6882001317
71	0.6842369981
72	0.6793067014
73	0.6764309109
74	0.6732105809
75	0.6698403706
76	0.666717576
77	0.6640626567
78	0.6603340413
79	0.6574266851
80	0.6550193155
81	0.6505619819
82	0.6461321242
83	0.6452380704
84	0.6427347384
85	0.6388844712
86	0.6371164041
87	0.6329258862
88	0.6312057781
89	0.6281412232
90	0.6257460872
91	0.6220607929
92	0.6203609935
93	0.6178967174
94	0.6164503766
95	0.6131272519
96	0.6113081675
97	0.6071898579
98	0.6056870811
99	0.6038231269
100	0.6027139498
101	0.5998430559
102	0.5978965573
103	0.596413225
104	0.5948502474
105	0.5929645813
106	0.5896625561
107	0.5885607412
108	0.5871005262
109	0.585149862
110	0.5841190077
111	0.5819916924
112	0.5792550359
113	0.5770710118
114	0.5752023741
115	0.5727510852
116	0.5709263529
117	0.5691950825
118	0.5672300936
119	0.5650238521
120	0.56360232
121	0.561359035
122	0.5594997881
123	0.5574415884
124	0.5560700264
125	0.5537708854
126	0.5512468915
127	0.5501585024
128	0.548614485
129	0.5468453244
130	0.5446822092
131	0.5426015402
132	0.5404767946
133	0.5379605988
134	0.5359810507
135	0.5347023419
136	0.5335858646
137	0.5319569183
138	0.530644395
139	0.52922422
140	0.5276170667
141	0.5258923277
142	0.5241746139
143	0.5223590119
144	0.5208327014
145	0.5195137301
146	0.5186084161
147	0.5174568916
148	0.5162449655
149	0.5148096698
150	0.512920285
151	0.5118555079
152	0.5097117632
153	0.5089510648
154	0.5081496228
155	0.5069558694
156	0.5049589083
157	0.5038967295
158	0.5031218768
159	0.5020398082
160	0.5008081672
161	0.4996842245
162	0.4986784772
163	0.4974283966
164	0.4957812443
165	0.4946835526
166	0.4938368156
167	0.4928453524
168	0.491558568
169	0.4905232328
170	0.4894670223
171	0.4878613411
172	0.4859269892
173	0.4846696538
174	0.4838564221
175	0.4822952087
176	0.479746991
177	0.4777250536
178	0.476791264
179	0.4760409024
180	0.4747374461
181	0.4727136365
182	0.4711586637
183	0.4689021892
184	0.4676582311
185	0.4664526722
186	0.4656242339
187	0.4646670913
188	0.4637929299
189	0.4620445879
190	0.4609335028
191	0.4597434631
192	0.4578821083
193	0.456150031
194	0.4546457788
195	0.4531058655
196	0.4520436062
197	0.4509398488
198	0.4496439403
199	0.4483073375
200	0.4468385434
201	0.4461174587
202	0.4446804148
203	0.4440954902
204	0.4428944187
205	0.4421128055
206	0.441282291
207	0.4406570609
208	0.4399532278
209	0.4383210128
210	0.4371914046
211	0.4359875887
212	0.4354909578
213	0.4344694474
214	0.4338377777
215	0.4326767184
216	0.4318498354
217	0.4311114928
218	0.4299000478
219	0.4281519581
220	0.4272494015
221	0.4260657312
222	0.4244981049
223	0.4234250222
224	0.4225438921
225	0.4217788769
226	0.4202875769
227	0.4194459633
228	0.4178097259
229	0.4164045562
230	0.4151133027
231	0.4139800452
232	0.4126817939
233	0.4115762816
234	0.4106820089
235	0.4096269375
236	0.409009423
237	0.4082272747
238	0.4075129588
239	0.4056892402
240	0.4051078451
241	0.4046977239
242	0.403608567
243	0.4027540231
244	0.4012707327
245	0.4003874368
246	0.3994874462
247	0.3986097525
248	0.3980587034
249	0.3973647047
250	0.3967384724
251	0.3957982969
252	0.394346775
253	0.393961356
254	0.3932845966
255	0.3923610523
256	0.3917628122
257	0.3906584619
258	0.3894641834
259	0.3885828851
260	0.3877312641
261	0.3874320185
262	0.3861787137
263	0.385158706
264	0.38422541
265	0.383124644
266	0.3822901371
267	0.3811425505
268	0.3800967936
269	0.3795248649
270	0.3789216618
271	0.3780553876
272	0.3769322451
273	0.376024218
274	0.3749891815
275	0.3744721337
276	0.3732071443
277	0.3727101752
278	0.3722945063
279	0.3712256294
280	0.3706365067
281	0.3698121394
282	0.3691434456
283	0.3685892808
284	0.3677411931
285	0.3671994687
286	0.3666901136
287	0.3660190887
288	0.3657025845
289	0.3652701776
290	0.3646909966
291	0.363696515
292	0.3630533053
293	0.3623874078
294	0.3619275872
295	0.3615941055
296	0.3606166712
297	0.3600600595
298	0.3596719188
299	0.3589959708
