iter	Passed	Remaining
0	153	46009
1	346	51678
2	570	56461
3	717	53112
4	840	49586
5	941	46157
6	1038	43458
7	1138	41560
8	1320	42708
9	1450	42077
10	1559	40973
11	1679	40318
12	1809	39952
13	1944	39714
14	2044	38837
15	2143	38045
16	2251	37472
17	2378	37256
18	2490	36838
19	2589	36256
20	2685	35683
21	2783	35177
22	2884	34735
23	2982	34302
24	3081	33901
25	3183	33553
26	3306	33433
27	3426	33284
28	3532	33014
29	3649	32844
30	3765	32673
31	3872	32432
32	3988	32268
33	4136	32358
34	4321	32722
35	4480	32858
36	4584	32584
37	4681	32278
38	4778	31979
39	4872	31668
40	4971	31404
41	5070	31146
42	5167	30885
43	5262	30617
44	5353	30336
45	5448	30085
46	5543	29838
47	5637	29598
48	5734	29372
49	5830	29153
50	5928	28946
51	6026	28740
52	6124	28541
53	6220	28339
54	6317	28141
55	6415	27951
56	6510	27754
57	6607	27569
58	6703	27382
59	6796	27185
60	6888	26987
61	6984	26810
62	7084	26650
63	7179	26476
64	7278	26315
65	7378	26159
66	7473	25989
67	7577	25852
68	7681	25717
69	7776	25552
70	7875	25401
71	7970	25241
72	8067	25086
73	8166	24939
74	8260	24780
75	8358	24636
76	8457	24493
77	8557	24356
78	8653	24208
79	8751	24067
80	8846	23918
81	8946	23784
82	9040	23636
83	9138	23499
84	9257	23416
85	9350	23267
86	9446	23127
87	9541	22986
88	9644	22864
89	9743	22734
90	9841	22602
91	9938	22470
92	10032	22329
93	10129	22197
94	10228	22071
95	10321	21933
96	10417	21801
97	10511	21666
98	10608	21537
99	10704	21409
100	10804	21287
101	10897	21154
102	10993	21026
103	11089	20899
104	11188	20777
105	11284	20651
106	11386	20538
107	11394	20256
108	11489	20132
109	11585	20011
110	11679	19887
111	11773	19762
112	11871	19645
113	11967	19525
114	12062	19405
115	12155	19281
116	12257	19171
117	12355	19057
118	12452	18939
119	12551	18827
120	12648	18711
121	12744	18594
122	12837	18473
123	12932	18355
124	13026	18237
125	13124	18124
126	13221	18010
127	13314	17891
128	13412	17779
129	13512	17669
130	13611	17559
131	13705	17443
132	13804	17333
133	13900	17219
134	13998	17109
135	14094	16996
136	14186	16879
137	14283	16767
138	14376	16652
139	14473	16541
140	14570	16430
141	14665	16317
142	14758	16203
143	14851	16089
144	14951	15982
145	15045	15869
146	15138	15756
147	15234	15646
148	15330	15535
149	15423	15423
150	15519	15313
151	15616	15205
152	15714	15098
153	15808	14987
154	15904	14878
155	16001	14770
156	16097	14662
157	16193	14553
158	16288	14444
159	16385	14337
160	16481	14229
161	16576	14120
162	16671	14011
163	16766	13903
164	16857	13792
165	16950	13682
166	17044	13574
167	17138	13466
168	17238	13362
169	17335	13256
170	17431	13150
171	17527	13044
172	17621	12936
173	17720	12831
174	17815	12725
175	17912	12620
176	18009	12515
177	18106	12410
178	18201	12304
179	18299	12199
180	18395	12094
181	18492	11989
182	18587	11884
183	18688	11782
184	18781	11674
185	18879	11571
186	18971	11463
187	19075	11364
188	19174	11261
189	19272	11157
190	19368	11053
191	19465	10949
192	19555	10841
193	19654	10738
194	19750	10634
195	19845	10530
196	19938	10424
197	20031	10319
198	20125	10214
199	20223	10111
200	20319	10007
201	20424	9908
202	20604	9845
203	20833	9804
204	21122	9788
205	21581	9847
206	22040	9902
207	22355	9888
208	22587	9834
209	22820	9780
210	23051	9723
211	23373	9702
212	23757	9703
213	24284	9759
214	24677	9756
215	24907	9686
216	25152	9620
217	25326	9526
218	25447	9412
219	25574	9299
220	25741	9201
221	25911	9104
222	26009	8980
223	26107	8857
224	26210	8736
225	26310	8614
226	26406	8492
227	26498	8368
228	26595	8245
229	26691	8123
230	26786	8001
231	26882	7879
232	26974	7756
233	27070	7635
234	27173	7515
235	27271	7395
236	27367	7274
237	27461	7153
238	27560	7034
239	27659	6914
240	27754	6794
241	27848	6674
242	27947	6555
243	28042	6435
244	28153	6320
245	28249	6201
246	28343	6081
247	28438	5962
248	28534	5844
249	28629	5725
250	28724	5607
251	28818	5489
252	28913	5371
253	29007	5253
254	29108	5136
255	29201	5019
256	29296	4901
257	29392	4784
258	29486	4667
259	29583	4551
260	29679	4434
261	29772	4318
262	29866	4201
263	29962	4085
264	30064	3970
265	30156	3854
266	30252	3739
267	30350	3623
268	30446	3508
269	30540	3393
270	30635	3278
271	30730	3163
272	30828	3049
273	30923	2934
274	31024	2820
275	31131	2707
276	31228	2592
277	31324	2478
278	31419	2364
279	31513	2250
280	31605	2137
281	31703	2023
282	31795	1909
283	31888	1796
284	31984	1683
285	32082	1570
286	32174	1457
287	32268	1344
288	32361	1231
289	32456	1119
290	32552	1006
291	32647	894
292	32743	782
293	32840	670
294	32935	558
295	33041	446
296	33139	334
297	33233	223
298	33327	111
299	33425	0
