district,year,season,crop,area,production,yield,temperature,rainfall,humidity,nitrogen,phosphorus,potassium,organic_carbon,ph,micronutrient_score
murshidabad,2012,kharif,sunflower,40.95583797477132,45.0,1.125,21.352600438142918,817.5053389421892,63.544775494494914,0.25845752894157414,0.5566274856303524,0.5816505635069559,0.36765545274073963,7.26811738489483,0.6979373473189735
west midnapore,2009,autumn,rice,25757.90296656949,61570.0,2.103447097810119,23.98489995104241,1454.1683463364604,78.18040551577228,0.221196581922293,0.6911436596263953,0.5327309224850986,0.4107922248280755,5.888915488328411,0.8176934717665955
east midnapore,2001,summer,moong(green gram),943.207761224924,848.0,1.007125890736342,34.47927797581879,968.7903261345571,74.64880560416417,0.5369974544506035,0.8984131280313723,0.4824927623572467,0.82110250046134,8.306706187218108,0.8571794026712387
darjiling,1997,autumn,ragi,13344.60235024166,13512.0,1.2,15.732956753522291,88.61275454255411,60.861673263143466,0.5105118144506334,0.5125963110590794,0.45828908074189323,0.8989124387387659,6.245384406477184,0.6197433149296873
jalpaiguri,1998,rabi,wheat,27450.125692076414,38910.0,1.5234925606891152,28.129158504727346,146.51170410457794,74.79108374408342,0.43346370241615817,0.3793961975493066,0.473731374989002,1.0380548754028003,6.012415506638162,0.7193560393926473
hugli,2001,rabi,groundnut,192.37019075820174,180.0,0.9,22.8398050973916,1159.9865552187302,66.59973505535142,0.3680166865730482,1.0504139489603388,0.9658024629525864,0.4687051560808493,7.0929675532967815,0.7818494392812495
darjiling,2010,kharif,urad,201.02338492844456,156.0,0.7647058823529411,20.6030529119373,1810.421925514849,60.102166116005705,0.4984829570844871,0.9735236281641945,0.5835073519552378,1.0551157829907827,7.013037241266974,0.31223220379686467
barddhaman,2012,rabi,wheat,1987.567174363188,5748.0,2.8639760837070254,25.973031087732338,1078.573889266832,80.02584374890397,0.3606678908602525,0.6016629472298661,0.39773701680241813,0.3684887749118605,6.267886191080054,0.7629285632268092
west midnapore,2006,kharif,bajra,75.610734339408,31.0,0.3924050632911392,26.385724977163967,1675.5178251043806,61.86348848107097,0.4947939396510828,0.9935778884141704,0.529900150128769,0.7420365846423239,5.52876432496888,0.8482980661404956
dakshin dinajpur,2003,rabi,linseed,203.7270249179827,52.0,0.241860465116279,26.181135800236447,1158.9227136312463,69.14326702376248,0.4716952403380903,0.40996554425274523,0.7219102212246684,0.4567819151427218,6.313476654095236,0.8022918302426905
