,district,state,year,month,temperature,rainfall,humidity
4370,west midnapore,west bengal,2000,1,16.81,0.12,65.65
4379,bankura,west bengal,2000,1,16.37,0.24,61.3
4389,puruliya,west bengal,2000,1,15.92,0.33,55.69
4400,birbhum,west bengal,2000,1,16.92,0.21,52.21
4540,west midnapore,west bengal,2001,1,15.99,0.0,57.01
4549,bankura,west bengal,2001,1,16.34,0.01,46.04
4559,puruliya,west bengal,2001,1,16.02,0.07,40.27
4570,birbhum,west bengal,2001,1,15.87,0.01,44.93
4710,west midnapore,west bengal,2002,1,17.64,0.76,73.88
4719,bankura,west bengal,2002,1,17.02,0.99,70.48
4729,puruliya,west bengal,2002,1,16.66,1.01,63.59
4740,birbhum,west bengal,2002,1,17.34,0.48,61.96
4880,west midnapore,west bengal,2003,1,15.39,0.01,64.56
4889,bankura,west bengal,2003,1,15.41,0.03,59.21
4899,puruliya,west bengal,2003,1,14.99,0.09,54.71
4910,birbhum,west bengal,2003,1,15.46,0.05,52.39
5050,west midnapore,west bengal,2004,1,16.48,0.07,72.38
5059,bankura,west bengal,2004,1,16.02,0.28,70.26
5069,puruliya,west bengal,2004,1,15.18,0.37,69.36
5080,birbhum,west bengal,2004,1,16.43,0.26,60.94
5220,west midnapore,west bengal,2005,1,17.27,0.88,73.46
5229,bankura,west bengal,2005,1,16.78,0.81,70.57
5239,puruliya,west bengal,2005,1,16.17,0.74,66.48
5250,birbhum,west bengal,2005,1,16.58,0.59,65.68
5390,west midnapore,west bengal,2006,1,16.97,0.0,63.38
5399,bankura,west bengal,2006,1,17.21,0.0,53.49
5409,puruliya,west bengal,2006,1,17.31,0.0,43.74
5420,birbhum,west bengal,2006,1,16.63,0.0,53.31
5560,west midnapore,west bengal,2007,1,16.33,0.07,67.14
5569,bankura,west bengal,2007,1,16.04,0.03,64.35
5579,puruliya,west bengal,2007,1,15.71,0.0,58.47
5590,birbhum,west bengal,2007,1,16.04,0.01,54.33
5730,west midnapore,west bengal,2008,1,16.29,1.84,73.69
5739,bankura,west bengal,2008,1,15.8,1.24,71.13
5749,puruliya,west bengal,2008,1,15.4,1.03,67.42
5760,birbhum,west bengal,2008,1,15.81,1.16,67.25
5900,west midnapore,west bengal,2009,1,18.4,0.08,72.75
5909,bankura,west bengal,2009,1,17.94,0.2,70.01
5919,puruliya,west bengal,2009,1,17.47,0.24,66.04
5930,birbhum,west bengal,2009,1,18.1,0.12,61.42
6070,west midnapore,west bengal,2010,1,15.74,0.0,66.03
6079,bankura,west bengal,2010,1,15.63,0.0,62.54
6089,puruliya,west bengal,2010,1,15.32,0.0,58.12
6100,birbhum,west bengal,2010,1,15.73,0.0,57.24
6240,west midnapore,west bengal,2011,1,16.52,0.07,62.9
6249,bankura,west bengal,2011,1,16.66,0.18,53.57
6259,puruliya,west bengal,2011,1,15.91,0.3,49.98
6270,birbhum,west bengal,2011,1,15.98,0.07,53.02
6410,west midnapore,west bengal,2012,1,17.56,2.05,75.46
6419,bankura,west bengal,2012,1,16.79,1.95,75.07
6429,puruliya,west bengal,2012,1,15.91,1.74,73.53
6440,birbhum,west bengal,2012,1,16.6,1.0,67.43
6580,west midnapore,west bengal,2013,1,15.13,0.08,65.74
6589,bankura,west bengal,2013,1,14.35,0.03,66.42
6599,puruliya,west bengal,2013,1,13.69,0.01,63.42
6610,birbhum,west bengal,2013,1,14.67,0.03,54.0
6750,west midnapore,west bengal,2014,1,16.33,0.01,74.64
6759,bankura,west bengal,2014,1,15.98,0.06,73.21
6769,puruliya,west bengal,2014,1,15.39,0.28,71.89
6780,birbhum,west bengal,2014,1,15.87,0.02,67.66
