state,district,year,season,crop,area,production,yield
West Bengal,24 paraganas north,1997,autumn,rice,15017.0,33840.0,2.253446094426317
West Bengal,24 paraganas north,1997,kharif,jute,52568.0,677510.0,12.888259016892405
West Bengal,24 paraganas north,1997,kharif,mesta,690.0,6710.0,9.72463768115942
West Bengal,24 paraganas north,1997,kharif,urad,1992.0,1310.0,0.6576305220883534
West Bengal,24 paraganas north,1997,rabi,gram,267.0,160.0,0.599250936329588
West Bengal,24 paraganas north,1997,rabi,khesari,117.0,90.0,0.7692307692307693
West Bengal,24 paraganas north,1997,rabi,masoor,6179.0,3720.0,0.6020391649134164
West Bengal,24 paraganas north,1997,rabi,moong(green gram),65.0,49.0,0.7538461538461538
West Bengal,24 paraganas north,1997,rabi,oilseeds total,4205800.0,3183800.0,0.7570022350087974
West Bengal,24 paraganas north,1997,rabi,urad,295.0,58.0,0.19661016949152543
West Bengal,24 paraganas north,1997,rabi,wheat,6790.0,11950.0,1.759941089837997
West Bengal,24 paraganas north,1997,summer,moong(green gram),175.0,5.0,0.02857142857142857
West Bengal,24 paraganas north,1997,summer,rice,98044.0,269690.0,2.750703765656236
West Bengal,24 paraganas north,1997,whole year,arecanut,1345.0,1274.0,0.9472118959107807
West Bengal,24 paraganas north,1997,whole year,arhar/tur,45.0,40.0,0.8888888888888888
West Bengal,24 paraganas north,1997,whole year,coconut,2975.0,40162.0,13.499831932773109
West Bengal,24 paraganas north,1997,whole year,dry chillies,3916.0,7706.0,1.9678243105209396
West Bengal,24 paraganas north,1997,whole year,groundnut,1719.0,2840.0,1.6521233275159977
West Bengal,24 paraganas north,1997,whole year,linseed,123.0,20.0,0.16260162601626016
West Bengal,24 paraganas north,1997,whole year,maize,5.0,10.0,2.0
West Bengal,24 paraganas north,1997,whole year,potato,6199.0,131431.0,21.201968059364415
West Bengal,24 paraganas north,1997,whole year,pulses total,975200.0,595700.0,0.6108490566037735
West Bengal,24 paraganas north,1997,whole year,rapeseed &mustard,33993.0,25070.0,0.7375047803959639
West Bengal,24 paraganas north,1997,whole year,sesamum,6188.0,3875.0,0.6262120232708468
West Bengal,24 paraganas north,1997,whole year,sugarcane,183.0,12060.0,65.90163934426229
West Bengal,24 paraganas north,1997,whole year,turmeric,820.0,1701.0,2.074390243902439
West Bengal,24 paraganas north,1997,winter,rice,193202.0,381990.0,1.977153445616505
West Bengal,24 paraganas north,1998,autumn,rice,21417.0,45870.0,2.1417565485362093
West Bengal,24 paraganas north,1998,kharif,arhar/tur,61.0,50.0,0.819672131147541
West Bengal,24 paraganas north,1998,kharif,dry ginger,287.0,409.0,1.4250871080139373
West Bengal,24 paraganas north,1998,kharif,jute,58511.0,815790.0,13.942506537232315
West Bengal,24 paraganas north,1998,kharif,mesta,1159.0,10440.0,9.007765314926662
West Bengal,24 paraganas north,1998,kharif,moong(green gram),14.0,6.0,0.42857142857142855
West Bengal,24 paraganas north,1998,kharif,sunflower,12.0,8.0,0.6666666666666666
West Bengal,24 paraganas north,1998,kharif,urad,1738.0,1240.0,0.713463751438435
West Bengal,24 paraganas north,1998,rabi,gram,1191.0,890.0,0.7472712006717045
West Bengal,24 paraganas north,1998,rabi,khesari,202.0,200.0,0.9900990099009901
West Bengal,24 paraganas north,1998,rabi,linseed,149.0,30.0,0.20134228187919462
West Bengal,24 paraganas north,1998,rabi,masoor,4901.0,3220.0,0.657008773719649
West Bengal,24 paraganas north,1998,rabi,peas & beans (pulses),1081.0,790.0,0.730804810360777
West Bengal,24 paraganas north,1998,rabi,rapeseed &mustard,33603.0,24310.0,0.7234473112519716
West Bengal,24 paraganas north,1998,rabi,wheat,8621.0,18030.0,2.0914047094304604
West Bengal,24 paraganas north,1998,summer,moong(green gram),86.0,30.0,0.3488372093023256
West Bengal,24 paraganas north,1998,summer,rice,114251.0,425881.0,3.727591005768002
West Bengal,24 paraganas north,1998,whole year,arecanut,1383.0,2196.0,1.5878524945770065
West Bengal,24 paraganas north,1998,whole year,coconut,2990.0,55682.8,18.623010033444817
West Bengal,24 paraganas north,1998,whole year,dry chillies,3416.0,4447.0,1.3018149882903982
West Bengal,24 paraganas north,1998,whole year,groundnut,2110.0,3248.0,1.5393364928909952
West Bengal,24 paraganas north,1998,whole year,potato,7927.0,166929.0,21.058281821622302
